iter	Passed	Remaining
0	143	142909
1	146	72875
2	147	49099
3	148	37095
4	150	29872
5	151	25038
6	152	21576
7	152	18970
8	154	16967
9	155	15360
10	156	14064
11	157	12961
12	158	11998
13	158	11173
14	159	10494
15	160	9875
16	161	9324
17	161	8831
18	162	8386
19	162	7985
20	163	7637
21	164	7324
22	165	7041
23	166	6777
24	167	6521
25	167	6283
26	168	6061
27	168	5856
28	169	5669
29	169	5493
30	170	5338
31	171	5183
32	171	5039
33	174	4967
34	175	4838
35	176	4717
36	176	4603
37	177	4491
38	178	4386
39	178	4283
40	178	4186
41	179	4093
42	179	4005
43	180	3920
44	180	3839
45	181	3762
46	181	3687
47	182	3616
48	183	3552
49	183	3489
50	184	3427
51	184	3367
52	185	3309
53	185	3254
54	186	3200
55	186	3147
56	187	3106
57	188	3063
58	189	3017
59	189	2976
60	190	2935
61	191	2899
62	192	2859
63	192	2819
64	193	2781
65	193	2744
66	194	2709
67	195	2676
68	195	2643
69	196	2609
70	197	2580
71	199	2565
72	200	2541
73	200	2514
74	201	2484
75	201	2455
76	203	2434
77	203	2409
78	204	2386
79	205	2362
80	205	2336
81	206	2312
82	206	2285
83	207	2261
84	207	2238
85	208	2216
86	209	2194
87	210	2179
88	211	2163
89	212	2149
90	213	2128
91	213	2108
92	214	2087
93	214	2067
94	215	2048
95	215	2029
96	215	2010
97	216	1991
98	216	1973
99	218	1963
100	218	1947
101	219	1933
102	220	1918
103	220	1902
104	221	1887
105	221	1872
106	222	1857
107	223	1842
108	224	1838
109	225	1828
110	226	1813
111	226	1799
112	227	1785
113	227	1771
114	228	1758
115	228	1744
116	229	1730
117	229	1718
118	230	1705
119	230	1692
120	231	1680
121	231	1667
122	233	1661
123	233	1651
124	234	1641
125	235	1631
126	235	1619
127	236	1609
128	236	1599
129	237	1589
130	237	1578
131	238	1569
132	240	1565
133	240	1557
134	241	1548
135	242	1540
136	243	1531
137	243	1521
138	244	1511
139	244	1502
140	244	1492
141	245	1482
142	245	1472
143	246	1463
144	246	1454
145	247	1449
146	248	1443
147	249	1435
148	249	1427
149	250	1420
150	251	1413
151	252	1406
152	252	1398
153	253	1391
154	253	1383
155	254	1376
156	255	1372
157	256	1367
158	257	1360
159	258	1354
160	258	1346
161	258	1339
162	259	1331
163	259	1324
164	260	1317
165	260	1310
166	261	1303
167	261	1296
168	262	1292
169	263	1287
170	264	1282
171	265	1276
172	265	1270
173	266	1264
174	267	1259
175	267	1253
176	268	1247
177	268	1241
178	269	1235
179	270	1232
180	271	1227
181	272	1224
